

Trajectories
100
,,PETT:table1,,,PETT:table2,,,PETT:balle1,,,PETT:dos1,,,PETT:dos2,,,PETT:torse2,,,PETT:cou2,,,PETT:epaule G2,,,PETT:bras G2,,,PETT:coude G2,,,PETT:epaule D2,,,PETT:bras D2,,,PETT:coude D2,,,PETT:av bras D2,,,PETT:av bras D3,,,PETT:main D3,,,PETT:raquette2,,,PETT:raquette3,,,PETT:raquette4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-1346.85,891.13,-7.33191,-1380.48,-610.015,5.80161,1557.56,169.881,443.622,-1795.34,196.775,226.579,,,,-1792.78,229.773,674.511,,,,-1862.55,406.057,712.928,-1951.03,539.41,432.135,-1897.6,544.048,371.145,-1930.09,70.8248,729.078,-2025.98,-67.2657,421.359,-1955.21,-74.8778,373.68,-1746.23,-72.9148,363.852,-1742.48,-14.0677,430.557,-1688.13,-66.7675,407.488,-1530.43,-19.0227,408.617,-1537.1,36.2272,527.926,,,
2,0,-1346.83,891.128,-7.345,-1380.48,-610.014,5.82435,1556.96,171.444,442.118,-1794.29,194.312,226.441,,,,-1790.64,226.214,674.168,,,,-1861.17,402.637,712.701,-1951.38,535.393,432.323,-1897.59,539.553,371.162,-1928.87,66.9791,728.896,-2023.11,-70.7136,420.147,-1951.54,-77.3886,372.542,-1742.77,-74.3024,365.184,-1740.55,-15.4473,431.679,-1685.8,-68.45,409.726,-1533.45,-19.8057,413.239,-1543.27,37.534,532.774,,,
3,0,-1346.88,891.132,-7.32424,-1380.5,-610.011,5.82814,1556.09,173.095,440.402,,,,,,,-1780.59,218.84,672.851,,,,-1860.73,399.117,712.89,-1951.27,531.77,432.337,-1893.14,533.246,374.587,-1927.51,63.2215,728.773,-2019.89,-73.7959,418.819,-1948.41,-80.3209,371.993,-1739.17,-75.3404,366.264,-1738.06,-16.6805,433.025,-1678.18,-68.8383,413.069,-1525.43,-22.5266,420.286,-1543.7,36.6227,537.405,,,
4,0,-1346.86,891.135,-7.33612,-1380.47,-610.014,5.82718,1555.33,174.727,438.599,-1794.16,189.113,226.266,,,,-1780.43,216.034,672.723,,,,-1859.63,395.941,713.031,-1951.49,528.037,432.6,-1898.67,532.613,371.332,-1926.69,59.7861,728.921,-2016.82,-76.8758,417.767,-1945.07,-82.736,371.463,-1735.88,-76.7638,367.086,-1735.78,-18.2433,434.178,-1682.28,-67.4293,412.95,-1528.81,-22.5242,424.802,-1544.26,35.7327,542.922,,,
5,0,-1346.86,891.134,-7.33657,-1380.49,-610.004,5.82303,1566.92,179.468,436.184,-1792.94,187.237,226.712,,,,-1784.37,214.919,673.378,,,,-1859.22,392.734,713.547,-1952,524.292,433.17,-1899.83,529.868,371.698,-1924.58,55.9832,728.767,-2013.76,-79.6864,416.872,-1941.44,-84.8867,370.947,-1732.06,-77.5249,367.889,-1732.95,-19.6596,435.556,-1679.16,-68.2967,414.292,-1521.51,-24.5114,430.729,-1539.25,32.5737,547.839,,,
6,0,-1346.82,891.134,-7.34743,-1380.49,-609.99,5.82901,1557.29,177.634,437.379,-1792.37,184.659,227.144,,,,-1778.79,210.327,672.868,,,,-1858.56,389.778,714.106,-1952.08,520.83,433.618,-1893.7,522.402,375.809,-1923.06,52.5693,728.943,-2010.45,-82.5186,416.026,-1937.81,-87.027,370.503,-1728.39,-78.1221,368.488,-1730.44,-21.0815,437.11,-1676.14,-69.0995,415.406,-1525.13,-22.8222,432.747,-1544.76,31.4416,551.879,,,
7,0,-1346.86,891.152,-7.34077,-1380.48,-609.989,5.80137,1558,179.323,436.085,-1793.3,182.755,227.243,,,,-1776.68,207.488,673.547,,,,-1858.37,387.065,714.82,-1953.08,517.28,434.562,-1894.7,518.451,376.348,-1922.74,49.5601,729.651,-2007.46,-85.2513,415.55,-1934.27,-88.9225,370.179,-1724.8,-78.3192,369.378,-1727.83,-22.8004,438.64,-1672.89,-69.8108,416.609,-1517.75,-24.1985,436.542,-1542.73,28.7655,555.454,,,
8,0,-1346.84,891.169,-7.33463,-1380.49,-609.971,5.82201,1557.65,181.206,435.091,-1792.28,180.855,227.794,,,,-1778.43,205.81,674.624,,,,-1858.35,384.132,715.894,-1953.37,513.809,435.214,-1895.03,515.65,376.884,-1920.4,46.2687,729.757,-2004.25,-87.8634,415.089,-1930.94,-90.7507,370.164,-1721.24,-77.9245,369.842,-1725.04,-24.22,440.588,-1669.81,-70.5101,417.492,-1520.11,-21.4934,436.362,-1534.64,23.8829,559.073,,,
9,0,-1346.85,891.155,-7.33309,-1380.46,-609.992,5.81921,1572.97,183.84,431.604,-1790.5,178.443,228.623,,,,-1776.43,203.4,675.035,,,,-1857.88,381.579,716.698,-1954.25,510.331,436.043,-1896.43,512.059,377.339,-1918.44,43.2147,730.06,-2001.32,-90.3151,414.847,-1927.83,-92.5441,370.389,-1718.26,-78.1451,370.505,-1722.41,-25.8504,442.446,-1666.52,-71.2548,418.14,-1517.98,-19.5111,436.204,-1530.46,20.4278,561.359,,,
